-able	可;易
abbr	95后;B超;CP;MV;PU;w;一作;一头热;一点;七律;万圣夜;三围;三甲;三自;三角;三项;上合;上外;上汽;上证;不便险;不香吗;专八;专列;专硕;世博;世博会;世卫;世卫组织;世界博览会;世维会;世行;世贸;世运;世银;业大;业配;东伊运;东协;东盟;东突;东突组织;丝印;丝路;严控;个体;个护;个税;个贷;个资;中专;中共;中共中央;中办;中华航空公司;中南;中国作协;中国共产党中央委员会;中国商飞;中国教育和科研计算机网;中国教育网;中国文学艺术界联合会;中国文联;中国残联;中国证监会;中央宣传部;中宣部;中密度纤维板;中师;中情局;中新社;中时;中概股;中油;中港台;中盘;中研院;中科院;中纪委;中组部;中联办;中联航;中行;中视;中财;中远;中银;中青;中非;串串;临演;主裁;义;乌;乌兹别克;乙流;乙游;乙脑;九价;九巴;乡医;书;事业编;二简;互关;五七干校;五卅;五毛;五笔;五通;亚投行;亚洲;亚美利加洲;亚足联;交大;交安;交强险;交管所;交规;交警;交通大学;产检;京沪高铁;人大;人字拖;人寿;人效;人文社科;人流;人流手术;人社部;人肉;人行;人设;人资;人防;代驾;以;企;伊;伊藤;众;众包;会展;传产;传参;传讯;低保;低消;低端人口;低粉;住建部;体协;体彩;体校;体检;佛;佛州;侍应;侨生;俄;俄期;俚;保;保监会;信报;修例;健将;健检;健美;催更;僧;光大;光盘驱动器;光耦;光追;光驱;克;克国;入;入世;全国人大;全国人大常委会;全民健保;全球卫星导航系统;全运会;全马;全麻;八大元老;八老;公交;公卫;公投;公知;公设;公路车;公车;兰;兰若;共;共党;共青团;兵推;内参;内经;内贾德;军事体育;军体;军工;农会;农工;农残;农运;减核;函办;函大;刑庭;刑拘;刑警;刑诉法;刚需;创投;初中;初小;刹;前摄;副;副驾;副驾驶;办;功放;加;加州大学;加州理工学院;动;动保;动卧;动车;劫;劳委会;劳改;勒;勺;匈;化;化工;化武;化纤;北上广;北上广深;北二外;北外;北大;北市;北师大;北汽;北爱;北约;北车;医保;医大;半马;华;华东师大;华师大;华约;华航;华视;单抗;南大;南澳;南盟;南联盟;博;博讯;卡;卢;卫;卫视;卫霍;印;印子;印尼;印支;印支半岛;印航;厚薄;厦;参;参院;双休;双北;双标;反;反右;发改委;发票;取关;叙;古建;台;台大;台海;台湾大学;台盟;台积电;台罗字;台胞证;台视;吊伐;同传;同济;名优;吧;吹拍;吹箫;呐;周期表;周边;咖;品控;哈;哥大;商约;四个现代化;四化;四清;团建;园;固网;固话;国中;国企;国侦局;国保;国共;国关;国办;国台办;国大;国安;国安局;国安部;国家新闻出版广电总局;国家标准码;国家汉办;国家监委;国家计委;国小;国新办;国服;国标;国标码;国民中学;国考;国联;国航;国补;国语注音符号第一式;国贸;国资;国资委;国防科学技术工业委员会;国际田径联合会;国际田联;国际米兰;国际米兰队;国际足联;土共;土拍;土改;土方;地动仪;地推;地税;地调;均线;垦丁;埃;城管;城运会;域名编码;基操;基改;基测;基点;基督;堡;塑膜;塔;塔州;塔香;塞族;增生;墨;备注;复旦;外企;外劳;外协;外商独资企业;外媒;外宣;外教;外管局;外蒙;外贸协会;外资企业;外链;多维;多肉;夜大;大千世界;大外;大学入学指定科目考试;大巴;大方之家;大湾区;大生;大考;大运;天主;天外;天津环球金融中心;太阳;央企;央行;央视;央财;头显;头条;奥;奥会;奥数;奥组委;奥运;奥运会;女卫;女排;妇检;委培;婚介;婚介所;媒;嫌;孔子家语;孔院;学测;学硕;宁;守株缘木;安;安检;官媒;官网;定存;实参;实控人;实操;室颤;家暴;家电;家语;宾州;宿管;密件;密恐;密接;富士康;导员;寿险;小升初;小白;小资;少先队;少年先锋队;就服;尺短寸长;尼人;尽调;局麻;屁精;屏保;山斗;山胞;岘;川外;川普;巡演;工体;工信部;工校;工签;工行;左联;巨龙;巴;巴州;巴新;巴纽;巴解;巴解组织;巴铁;市占率;师大;希神;常委;平;平印;平板;平米;幼师;幼教;广外;广电总局;库工党;应激;底;廉航;延毕;建行;开;开挂;开源;弗州;弥陀;强震;形参;形婚;彩印;彩卷;彩电;役男;律所;微整;德;德先生;德州;德航;心室颤动;心梗;快消;快消品;快筛;快速筛检;思政;性转;总;总汇;总编;恋综;恐攻;恐袭;恒大;情勒;情商;情头;意;意面;愤青;戈;成大;成教;我司;房颤;手排;手游;托派;执委;执委会;扬;技战术;技校;投行;抛砖;报;抬显;拉美;拉黑;招办;拷;指居;指考;挖机;挽尊;捷;控卫;推甄;援交;搭铁;摩托;摩的;支书;支恐;改开;放疗;政协;故宫;教改;教研;散白;数模;数理化;整形;文创;文创产业;文旅部;文联;文青;文革;斗;斯;新;新农合;新冠;新冠病毒;新型农村合作医疗;新秘;新马;新马泰;方;方家;旅平险;无可奈何;日;日化;日料;日电;日经;日航;早教;易;星马;星马泰;春晚;春节联欢晚会;普外科;普尔热瓦尔斯基;普渡;普罗;普罗大众;普通高等学校招生全国统一考试;普高;智驾;暨大;月中;有了;服贸;朝;朝中社;朝战;朝鲜中央通讯社;期指;期货;本位货币;本币;机加酒;机器脚踏车;机建费;机翻;机踏车;杀软;权游;杭;松下;枘凿;枝晶;染指;柬;标准间;标普;标配;标间;校招;核酸;格致;桂;梁祝;梆子;梵;检警调;棉条;植保;楚;模数;次级贷款;次贷;次贷危机;欧;欧共体;欧包;欧安组织;欧氏;欧洲;欧罗巴洲;武直;死刑缓期执行;歼;母单;比;毕典;毕设;毛概;毛选;毛邓三;民主进步党;民企;民建联;民盟;民科;民警;民运;民进;民进党;气切;氨基葡糖;水军;水逆;永居;汇市;汉办;汉拼;汗马;江;江浙;沙;沙俄;沙国;沙特;沧桑;沪深港;沽;法;法币;法援;波;波点;波赫;波黑;注音;注音一式;泰;泰姬玛哈陵;泰斗;津;津塔;活体组织检查;活存;活检;流媒;流星;流脑;流调;浓缩;海协会;海峡交流基金会;海马;涅槃;消基会;消金;涤卡;淘宝;深圳证券交易所;混改;清华;温玉;温网;港;港交所;港岛;港深;港澳办;港珠澳;湖人;湘;滴滴;滴管;潮玩;潮语;澳;澳宝;激打;火险;灰产;灰岩;点睛;焦;爱优腾;爱卫会;牛;物业;物管;特;特区;特惠;特护;特警;特首;独显;独联体;王杨卢骆;环保;环创;环卫;环境卫生;环境影响评估;环法;环评;玻纤;珍奶;珠山;珠峰;珠澳;班禅;班禅额尔德尼;理中客;琼;瓜田李下;瓦;生技;生教;生物技术;生管;生米熟饭;甲亢;甲减;甲流;电化教育;电商;电子竞技;电教;电竞;电访;电诈;电邮;男凝;男卫;男排;男足;留样;疾控中心;白俄;白巧;白托;白电;白酒;百科;的;皇马;皮黄;盒带;目;相机;省流;省港澳;知青;石;矿企;研所;破发;硕;碳水;碳铵;礼;社保;社媒;社工;社恐;社招;社教;社牛;社科;社维法;社融;社运;神专;福;福委会;福彩;私企;私服;秋田;科仪;科幻;科普;科考;积代会;移工;稳胜;穗;空姐;空客;空少;空手;空港;立交;立委;立方;立院;竺;笔记本;简中;管委会;篇韵;粉;粤拼;精分;精利主义;精校;精障;糖弹;糟糠;索;繁;红通;纳指;纵横;纽交所;纽时;组合音响;组培;组委;组委会;组织委员会;经;经合组织;经济合作与发展组织;经贸;结肠镜;统战;统战部;统汉字;统编;维;维族;维港;维生;绿坝;绿坝·花季护航;缅;网安;网文;网暴;网游;网特;网综;网警;网银;罗掘;罗汉;羊穿;美;美剧;美加;美国交会;美国联合通讯社;美宇航局;美洲;美编;美联社;美颜相机;群众外包;群演;翼龙;考纪;考纲;考证;耳返;职业高中;职校;职高;联大;联航;联通;肃反;肉搜;肉毒素;肠镜;股指;育乐;背影杀手;背杀;背调;脊灰;脑梗;脱欧;自干五;自贸区;航司;航母;航舰;艺校;艺考;花旗;花旗银行;花滑;芳疗;苏;苏修;苏共;苏维埃社会主义共和国联盟;苏联;苏超;英;英广;英短;荣军;荣总;荣民;荣辱观;荷;莎翁;莫霍洛维奇不连续面;菲;葡;葡糖;葡糖胺;蒙;薪传;藏独;蚌;螵蛸;血透;行会;行拘;街访;街道办;补时;裸模;西;西外;规培;视效;解放军;警局;警政署;警署;计生;论;访惠聚;证券委;证监会;评委;评委会;试错;诗;诺奖;课件;谷梁;豆瓣;贝克;贝克勒尔;责编;贫限想;费城;费拉德尔菲亚;资安;资工;资政;赛先生;赣;赫;超市;超算;超级跑车;超英;超跑;超马;越;足协;跟监;躺枪;车管所;车贷;轮机;轻型轨道交通;轻轨;轻铁;辅大;辣妹;边控;达茂旗;达赖;过关斩将;过刊;运存;运科;运维;进料;远期;违建;迪厅;迷笛;逆商;通用汉字标准交换码;通用码;通缩;通胀;通膨;速滑;速通;道场;道指;郑;酱紫;酵母;释;释迦;里约;重卡;重训;野火春风;野火烧不尽，春风吹又生;量;量规;金改;金汤;金菇;铁丝;铁粉;铁通;铜锤;银监会;锐评;键鼠;镇压反革命运动;镇反运动;长三角;长漂;长照;长途;门冬;闪婚;闺蜜;防长;阿;阿堵;阿盟;阿联酋;阿联酋长国;阿里;附中;附小;陆委会;陇海;陈绍;限免;院感;院线;陵水;陵水县;难经;集成显卡;集显;集采;雪泥;雪莱;雷雕;霓虹;霓裳;霸总;霸道;青旅;非;非国大;非洲;非盟;非遗;面的;音响;顶会;顶冒;顶刊;顶流;颠覆国家罪;颠覆政府罪;颠覆罪;风投;风控;飞检;飞行检查;食安;食管;马;马会;马大哈;马恩列斯;马犬;驻京;驻港;驾培;驾校;驾照;骚;高中;高压氧;高反;高大上;高小;高工;高教;高教机;高数;高校;高球;高管;高考;高职;高速;高速路;鱼薯;鹬蚌相争;麦;麻州;麻腮风;黄漂;黄谣;黎;黑五;黑巧;齐眉;龙井
abbreviate	简写;缩略
abbreviated	三不;代字;开本;略作;略字;简称;简约;缩略字;缩略语;缩语
abbreviation	文号;略称;略语;省称;简称;简缩;约言;缩;缩写;缩略;缩称;缩约;节略;西大;铣
abby	阿比
abc	发蒙;澳洲广播电台;美国广播公司
abdel	纳赛尔;阿拉法特
abdicate	汉献帝;禅;禅位;禅让;让位;退位;逊;逊位;逼宫
abdicated	张勋;张勋复辟
abdication	受禅;永贞内禅
abdomen	下腹部;兜兜;兜肚;剖腹;小腹;抹胸;水逆;症结;痞;肚兜;肚子;脐轮;腹;腹部;𣍰
abdominal	三焦;中焦;八块腹肌;收腹;症;腹哀;腹壁;腹肌;腹腔;腹部绞痛
abdominals	腹直肌
abdominis	腹直肌
abduct	劫夺;劫持;拐卖;拐骗;挟持;掳走;绑架;绑走;诱拐
abducted	还乡女
abduction	绑架
abductor	金鱼佬
abdullah	阿卜杜拉
abdureshit	阿不来提·阿不都热西提
abe	亚伯;安倍;安倍晋三
abel	亚伯;阿贝尔
abelian	阿贝尔
abelmoschus	秋葵
aberdeen	阿伯丁
aberrant	异色树莺
aberration	像差;失常;球差;畸变;神经失常
abet	姑息遗患;教唆
abetting	藏污纳垢
abhirati	东方阿閦佛;阿閦佛
abhor	厌腻;嫌恶;恶恨;憎恶;深恶痛绝;疾;痛恨;痛恶
abhorrent	令人发指;群起而攻之
abi	阿伊莎;阿依莎;阿比
abide	信守;凛遵;守;守分;守法;守规矩;循分;恪守;用命;遵守;遵循
abiding	博文约礼;笃守;观瞻
abidjan	阿比让
abies	银枞
abijah	阿彼雅
abilene	亚比利尼
abilities	三头六臂;不知天高地厚;不自量;大显神通;奇能异士;展翅高飞;德薄能鲜;打肿脸充胖子;用武之地;知人善任;神通广大;笨鸟先飞;能事;藏器待时;量力而为;露一手;鸡蛋碰石头;黔驴技穷
ability	不让须眉;专长;两把刷子;人尖儿;任人唯贤;任贤使能;元语言能力;具;出来;初露才华;初露锋芒;判断力;力;力不从心;力所能及;劳动能力;千虑一得;卖本事;受性;可劲;听力;唱商;大学学科能力测验;大材小用;奇能;定力;将勤补拙;尊贤使能;尽可能;常态分班;干才;得起;德才;恃才傲物;手段;手眼通天;手腕;才;才分;才干;才智;才略;才能;才识;执行力;技能;有手有脚;本事;本尊;本领;杀鸡焉用牛刀;材;水平;水性;滥竽充数;牙口;特长;理解力;生产能力;生育能力;看家;真才实学;眼力;眼力见;眼高手低;知觉力;神通;笔头;管不着;精;耐受力;耳力;聪明才智;能;能力;能耐;腿脚;蛟;蛟龙;见真章;解数;记忆力;记性;识力;话语权;语言能力;谞;赶鸭子上架;辁;适存度;逞能;道行;酒力;锋芒毕露;领导能力;高分低能;高才;高材;高材生;高段
abiu	黄晶果;黄金果
abiud	亚比玉;以利亚敬
abject	卑怯;猥獕;饭糗茹草
abjectly	贪生怕死
abjunction	脱离
abjure	誓绝
abkhazia	阿布哈兹
ablaze	万家灯火;吃枪药;炽盛
able	上口;不为酒困;不会;不克;不分胜败;两栖;人杰;任贤使能;会不会;会水;伯乐;克;具备;决胜千里;利器;半劳动力;博学多才;可;可以;可堪;可读;吃得住;吃得消;听不见;听得见;嘴稳;够格;女强人;妒能害贤;定能;对答如流;将会;应运而生;得以;得力;心眼大;忍得住;急中生智;急智;摸得着;放得下;敳;易孕;智能;有为有守;有手有脚;有救;有能力;栋梁;梁木;殗殜;渴不可耐;灿若繁星;用得着;甪端;皇帝女儿不愁嫁;目无全牛;看不清;看得见;知错能改;硬;积不相能;称职;精明能干;纵横;经得起;罩;耐劳;耐看;胜;能;能够;良材;落忍;见人说人话，见鬼说鬼话;认人;认字;识字;识文断字;说得上;谈得来;贤良;贫下中农;赶得及;跟不上;过来;运筹帷幄之中，决胜千里之外;鞭长莫及;顶天立地;高人
able-bodied	劳力;壮丁;壮年
ablet	阿不来提·阿不都热西提
ablutions	澡罐;祓禊
abnormal	不对;不正常;不规范;乖;乖谬;反常;变态;吃错药;异动;异常;怪圈;怪胎;畸;病态;病脉;癍;神神道道;神魂;赘生;邪;邪僻;非正常;骨肥厚
abnormality	优生;畸态;短指;神经失常;致畸
abnormally	热度;高血糖
abode	住宅;凶宅;居留权;方丈;洞府;蓬壶;蜗居;蜗庐
abolish	废;废藩置县;废除;铲除;革除
abolished	热河
abolition	废止;废统
abolitionist	约翰·霍金斯
abominable	可恶
aboriginal	土著;土著人;张惠妹;生番
aboriginals	乌鲁汝
aborigine	原住民;土人;山地同胞;山胞
aborigines	出草;平埔族;番刀;番界;高山族
abort	打掉;舍弃;退出
aborted	夭折
abortion	㱩;人工流产;人流;人流手术;优生;坠胎;堕胎;夹娃娃;小产;打胎;滑胎;药流
abortive	未遂
abound	盛传;纷呈
abounding	百出
abounds	莺歌燕舞
about	CP;一字不提;一年半载;一无是处;一清二楚;三不知;三心二意;三缄其口;下手;不修边幅;不可知论;不大离;不好说;不怎么样;不怕不识货，只怕货比货;不怕不识货，就怕货比货;不恤人言;不患寡而患不均;不拘小节;不提也罢;不是冤家不聚头;不然;不理不睬;不相上下;不虞;不足为虑;丑话说在前头;且;东奔西走;东奔西跑;东拉西扯;东躲西闪;个把;临;临产;乏善可陈;乐道;乐龄;乱动;乱跑;乱跳;了解;争斤论两;事关;亏;产生;人肉;人肉搜索;人肉搜索引擎;人走茶凉;介怀;介意;仰屋兴叹;伊利亚特;伊尼特;伯母;何如;佛系;使得;促成;保留;债多不愁;做手;兄长;先入为主;先天下之忧而忧，后天下之乐而乐;光景;克;兜圈子;入境问俗;八九不离十;关乎;关于;关心;关怀;兴趣;内外;准;准备;凉凉;凉拌;出没;刚一;创造;刻奇;前方高能;动手;动真格;博士买驴;博而不精;即将;反美是工作赴美是生活;反顾;叙旧;叙述;只字不提;只管;叫苦;可知论;吃不准;吃瓜;吃瓜群众;吃粮不管事;各人自扫门前雪，莫管他家瓦上霜;后顾之忧;吐槽;呢;咬文嚼字;哪壶不开提哪壶;哭穷;唱衰;喜忧参半;嘘寒问暖;嘴尖;嚷;四海为家;四溅;在乎;在意;在所不计;坏话;埃涅阿斯纪;埋怨;墙倒众人推;备悉;多行不义必自毙;大叔;大哥;大姨;大惊小怪;大概;大肚子经济;大谈特谈;大闹天宫;天南地北;夸耀;奔命;奔忙;奔波;奔走;好汉不提当年勇;婆娑;孔融让梨;学到;宛转;实现;客诉;导致;将死;将至;小哥哥;小姐姐;峰火台;工业旅游;差不多;巴三览四;巴山夜雨;带来;常情;平淡无奇;应验;开间;张家长，李家短;弥漫;弥留;彷徉;征兆;待;待要;得悉;徜徉;微服;心安理得;心心念念;心痛;忆述;志怪;忧虑;快要;念叨;念想;念诵;怎么回事;怎么样;怎么着;性幻想;怨命;恋念;患得患失;惦记;想;想想看;愁;意下如何;意淫;愧对;慌成一团;憧憧;成就;手舞足蹈;打听;打开天窗说亮话;打滚;打问;执念;执迷不悟;扬言;抓挠;抠字眼;披靡;拉家常;拐弯抹角;招摇过市;拜金;挂在嘴上;挂念;挂虑;指点江山;挑嘴;挑食;挤来挤去;挨揍;掉头;掌故;排雷;探风;揽辔澄清;搜神记;搬弄;摆布;摸索;摸黑;播弄;操心;操神;放在心上;放在眼里;敌情;敢怒而不敢言;断背;无可非议;无感;无所不谈;无法可施;无能为力;无虞;旧调重弹;旷达;明了;星罗棋布;晃;晗;曈;替古人担忧;有眉目;朕兆;杀人不过头点地;李英儒;束手;束手无策;板上钉钉;查问;桃花扇;梁赞;梦到;梦见;棒喝;概而不论;模样;欲加之罪，何患无辞;歇了吧;正要;死心;气不过;气笑;求爷爷告奶奶;没办法;没有什么;没有什么不可能;没有法;没法;没法儿;泛;活动;活蹦乱跳;流动;流浪;流离失所;流落;浑然不知;浪迹;浮动;浮泛;海阔天空;淡泊名利;深信不疑;深藏若虚;清楚;游动;游弋;游惰;游手好闲;游牧;游荡;游走;游鱼;渺无音信;满不在乎;漂流;漫步者;澄清;灾变说;炼之未定;热衷;烽燧;焦头烂额;爱面子;牵心挂肠;牵挂;牵记;狗扯羊皮;狼藉;生不逢时;由旬;痛定思痛;百儿八十;皇帝女儿不愁嫁;目中无人;真相;真象;真香;着忙;瞎晃;瞎说;知之甚微;碌碌;磅;礼教吃人;神女;离散;科盲;秦城监狱;稗官;穿着讲究;窥知;策划;算了;算起来;管;管他;管他呢;管他的;管它;管闲事;类书;约合;约莫;纷纷扬扬;纷飞;细思极恐;绕圈子;绕弯子;绕弯子儿;绕脖子;绕腾;罗列;罪状;翱翔;翻动;翻身;耳闻;耳闻不如目见;胸怀;腐女;自寻死路;自爆;船到桥门自会直;良心发现;色情狂;色色迷迷;色迷;花心思;若要人不知，除非己莫为;英石;获知;落忍;虞;虱多不痒;虱子多了不痒，债多了不愁;蜚蠊科;蜻蛉目;蜻蜓目;行;行动;行动不便;行将;行将结束;衣食无忧;衣食无虞;要;要不;要命;要样儿;计较;议论;讯问;记挂;讲;讲到;讲求;讲述;论;访贫问苦;评头品足;试想;询;询问;说东道西;说到;谈到;谈及;谈天说地;谈论;谈资;谈起;财迷心窍;走动;起居作息;起手;趴趴走;跌脚捶胸;跳动;跳脚;蹀躞;蹦跶;蹿腾;身不由己;身临其境;身正不怕影子斜;车到山前必有路;车到山前必有路，船到桥头自然直;转;转动;转圈;转帆;转念;转腰子;转身;轴旋转;轶事遗闻;较略;辗转;迷;迷恋;造成;逸事;遗忘;遥想;避重就轻;那么;郑人买履;郑重其事;酸;金钱挂帅;针砭;链;长点心眼;闪烁其词;闪转腾挪;闭口不谈;问寒问暖;闲话;闲话家常;闹大;闻悉;阿猫阿狗;陈尸;随风;难以启齿;面壁思过;顾念;顾盼自雄;顾虑;颠沛流离;风雨飘摇;飘飘;飘香;飞扬跋扈;飞来飞去;食不厌精，脍不厌细;驱使;驱役;验定;骛;骨鲠;高视阔步;魏巍;鼓噪
about-turn	倒转
above	一切向钱看;上;上个;上天;上文;上方;上有天堂，下有苏杭;上有老下有小;上焦;上空;上边;下视;不愧不怍;为上;之上;以言代法;信访局;凌驾;切切;前头;前揭;前文;前述;前面;加人一等;卓尔不群;同上;太公钓鱼，愿者上钩;头上;姜太公钓鱼，愿者上钩;威尊命贱;尤其是;崛地而起;开外;强龙不压地头蛇;忘机;拔;拔海;拱廊;据此;星宿海;春雨;暾;更胜一筹;桌面儿上;海拔;热力学温度;热力学温标;独出一时;独秀;略胜一筹;癞蛤蟆想吃天鹅肉;白鹤梁;瞰临;瞰望;等因奉此;翘居群首;脱颖而出;至上;色字头上一把刀;苏花公路;虾男;谕;赤诚相待;超常;超额;越过;过头;逸尘;逸群;醉驾;门额;高;高下;高举远蹈;高人一等;高居;高程;高空作业;高高在上;鹤立鸡群
above-mentioned	上边;上述;上面;以上;该
aboveboard	光明正大
abrade	擦伤;研磨
abraham	亚伯;亚伯拉罕;亚巴郎;以撒;易卜拉欣;林肯;马斯洛
abramovich	越飞
abrasion	擦伤;海蚀;磨蚀
abrasive	喷砂;砂纸;研磨料;研磨材料;研磨盘;磨料;磨砂;粗厉
abreast	与时俱进;并排;并肩;并驾齐驱;肩并肩;连镳并轸
abridge	删减;删节;缩写;缩编
abridged	删简压缩;原著;文本;简本;简编;节本;节略本
abroad	中外;他山之石可以攻玉;侨;侨眷;侨胞;公派;内忧外困;内忧外患;出使;出国;出洋;反美是工作赴美是生活;国内外;国外;域外;境内外;外出访问;外派;外边;外逃;外销;客死;家丑不可外传;家丑不可外扬;异地;归国;抛售;旅居;汉文;治装;海内外;海外;游学;猪仔;留子;留学;留学生;留洋;蜚声海外;飘海;飞鱼族
abrogate	废;废除;弃约背盟
abroscopus	棕脸鹟莺;黄腹鹟莺;黑脸鹟莺
abrupt	一雨成秋;串;倏;匆猝;急转直下;猛;突兀;突然;陡;骤
abrupta	女神蛤;象拔蚌
abruptly	乍;勃;勃然;大作;奄;崛起;戛然;掉头就走;猛然;猝;猝然;突如其来;草草收场;蹦出来;陡然;霍地;顿然;顿觉;骤变;骤然
abs	六块腹肌;腹直肌;资产担保证券;马甲线
absalom	押沙龙
abscess	脓肿
abscissa	横坐标
abscission	脱离
abscond	卷逃;开小差;擅离职守;潜逃;畏罪潜逃;跑路;逃逸;逋
abseiling	岩降
absence	事假;假条;停薪留职;实女;小别胜新婚;归根;想;承乏;旷工;留职停薪;石女;续假;请假;请假条;距离产生美;重披战袍;销假
absent	代课;开小差;擅离职守;救场;缺勤;缺席;误工;请别见怪;退席
absent-minded	失神;少根筋;开小差;心不在焉;恍惚;漫不经心;神思恍惚;精神恍惚;走神;走神儿;跑神儿
absent-mindedly	胡乱
absentees	全勤
absentminded	神不守舍
absinthe	苦艾酒
absinthium	苦艾
absit	请别见怪
absolute	专制君主制;人不知鬼不觉;均差;天条;太初;太极;如来;对世权;推心置腹;泣谏;深信不疑;热力学温度;热力学温标;精诚;绝品;绝对;绝对值;绝对地址;绝对多数;绝对大多数;绝对数字;绝对权;绝对温度;绝对湿度;绝对观念;绝对零度;肝胆相照;鸦雀无声
absolutely	一丝不挂;一问三不知;万万;万不得已;万全;万无一失;不共戴天;依然如故;切;切切;势在必行;十分;千真万确;压根;周瑜;坚如磐石;天公地道;必不可少;悄然无声;断;断然;根本;浑然;混账;百分之百;空空荡荡;端赖;精打光;纹风不动;绝;绝不;绝对连续;绝然;绝绝子;绝逼;绝非;肆无忌惮;脱裤子放屁;荒谬绝伦;贫无立锥;贫无立锥之地;这还了得;非要
absolutism	专制主义
absolve	开脱;开脱罪责;解脱;赦免
absolved	放下屠刀，立地成佛;立地成佛
absorb	取其精华;吃;吃水;吃油;吞灭;吸;吸取;吸尽;吸收;吸氧;吸湿;吸留;吸碳;吸纳;吸附;摄;摄入;摄取;汲取;消化
absorbability	吸附性
absorbed	入味;入神;同文馆;吸收剂量;戈瑞;戈雷;投入;拉德;沉淀;沉迷;目不窥园
absorbent	卫生棉;吸水;吸附剂;脱脂棉
absorbing	返潮
absorption	俘获;减振;减震;吸声;吸热;吸着;吸附性;暗星云
abstain	吃斋;大斋;寒食;弃权;忌;忌口;忌讳;戒毒;戒酒;斋;斋戒;断;禁忌;禁戒;禁食;辟谷
abstaining	斋祭;烟酒不沾
abstemious	清心寡欲
abstention	白票
abstinence	勒戒;开戒;戒绝
abstract	不名数;丧;以虚带实;化身;大要;存有;寓;建构;建模;彰显;抽象;抽象代数;抽象域;抽象思维;抽象词;捍卫者;提要;摘要;摸;整域;整环;构建;滋长;灭绝;百倍;筑牢;编织;虚;诸多
abstracted	神思恍惚
abstraction	抽象
abstruse	沕;深奥;深邃;玄奥;玄妙;玄秘;玄远;眑;窕邃;艰深;艰深晦涩;邃密
absurd	不经之谈;丑剧;剌;奇谈怪论;妄;岂有此理;异说;悖谬;扣屎盔子;知识越多越反动;笑话;荒;荒唐;荒怪不经;荒诞不经;荒诞无稽;荒谬;见鬼;谬;迂见;雷剧
absurdum	反证;反证法;归谬法
abtruse	微
abu	曼苏尔;阿巴斯;阿布扎比;阿布沙耶夫;阿布达比
abuja	阿布贾
abundance	丰度;优裕;充裕;大有;年年有余;恢恢有余;有余;林林总总;果实累累;盛产;金玉满堂
