一	GGLL,GGL,G
约	XQYY,XQY,XQ
级	XEYY,XEY,XE
纪	XNN,XN
驰	CBN
纫	XVYY,XVY
巡	VPV,VP
寿	DTFU,DTF
弄	GAJ
麦	GTU
玖	GQYY,GQY
玛	GCG
形	GAET,GAE
进	FJPK,FJP,FJ
戒	AAK,AA
吞	GDKF,GDK
远	FQPV,FQP
违	FNHP
韧	FNHY
运	FCPI,FCP
扶	RFWY,RFW
抚	RFQN,RFQ
坛	FFCY,FFC
技	RFCY,RFC
坏	FGIY,FGI
抠	RAQY,RAQ
扰	RDNN,RDN
扼	RDBN,RDB
拒	RANG,RAN
找	RAT,RA
批	RXXN,RXX,RX
址	FHG
扯	RHG
走	FHU
抄	RITT,RIT
贡	AMU,AM
汞	AIU
坝	FMY
攻	ATY,AT
赤	FOU,FO
折	RRH,RR
抓	RRHY
扳	RRCY,RRC
抡	RWXN,RWX
扮	RWVN,RWV
抢	RWBN,RWB
孝	FTBF,FTB
坎	FQWY,FQW
均	FQUG,FQU
抑	RQBH,RQB
抛	RVLN,RVL
投	RMCY,RMC
坟	FYY,FY
坑	FYMN,FYM
抗	RYMN
坊	FYN
抖	RUFH,RUF
护	RYNT,RYN
壳	FPMB,FPM
志	FNU,FN
块	FNWY,FNW
扭	RNFG,RNF
声	FNR
把	RCN
报	RBCY,RBC,RB
拟	RNYW,RNY
却	FCBH,FCB
抒	RCBH,RCB
劫	FCLN
芙	AFWU
芜	AFQB
苇	AFNH,AFN
芽	AAHT,AAH
花	AWXB,AWX,AW
芹	ARJ,AR
芥	AWJJ,AWJ
芬	AWVB,AWV
苍	AWBB,AWB
芳	AYB,AY
严	GODR,GOD
芦	AYNR
芯	ANU
劳	APLB,APL
克	DQB,DQ
芭	ACB,AC
苏	ALWU,ALW
杆	SFH
杠	SAG
杜	SFG
材	SFTT,SFT
村	SFY,SF
杖	SDYY,SDY
杏	SKF
杉	SET
巫	AWWI,AWW
极	SEYY,SEY,SE
李	SBF,SB
杨	SNRT,SNR,SN
求	FIYI,FIY
甫	GEHY,GEH
匣	ALK
更	GJQI,GJQ
束	GKII,GKI
吾	GKF
豆	GKUF,GKU
两	GMWW
酉	SGD
丽	GMYY,GMY
医	ATDI,ATD,AT
辰	DFEI,DFE
励	DDNL
否	GIKF,GIK
还	GIPI,GIP
尬	DNWJ,DNW
歼	GQTF,GQT
来	GOI,GO
连	LPK,LP
轩	LFH,LF
步	HIR,HI
卤	HLQI,HLQ,HL
坚	JCFF,JCF
肖	IEF,IE
旱	JFJ
盯	HSH,HS
呈	KGF,KG
时	JFY,JF
吴	KGDU,KGD
助	EGLN,EGL
县	EGCU,EGC
里	JFD
呆	KSU,KS
吱	KFCY,KFC
吠	KDY
呕	KAQY
园	LFQV,LFQ
旷	JYT
围	LFNH
呀	KAHT,KAH,KA
吨	KGBN,KGB
足	KHU
邮	MBH,MB
男	LLB,LL
困	LSI,LS
吵	KITT,KIT,KI
串	KKHK,KKH
员	KMU,KM
呐	KMWY,KMW
听	KRH,KR
吟	KWYN
吩	KWVN,KWV
呛	KWBN,KWB
吻	KQRT,KQR
吹	KQWY,KQW
呜	KQNG
吭	KYMN,KYM
吧	KCN,KC
邑	KCB
吼	KBNN,KBN
囤	LGBN,LGB
别	KLJH,KLJ
吮	KCQN,KCQ
岖	MAQY,MAQ
岗	MMQU,MMQ
帐	MHTY,MHT
财	MFTT,MFT,MF
针	QFH,QF
钉	QSH,QS
牡	TRFG
告	TFKF
我	TRNT,TRN,Q
乱	TDNN,TDN
利	TJH
秃	TMB
秀	TEB,TE
私	TCY
每	TXGU,TXG
兵	RGWU,RGW
估	WDG,WD
体	WSGG,WSG
何	WSKG,WSK
佐	WDAG,WDA
佑	WDKG,WDK
但	WJGG,WJG
伸	WJHH,WJH
佃	WLG,WL
作	WTHF,WT
伯	WRG,WR
伶	WWYC
佣	WEH
低	WQAY,WQA
你	WQIY,WQI,WQ
住	WYGG
位	WUG
伴	WUFH,WUF
身	TMDT,TMD
皂	RAB
伺	WNGK,WNG
佛	WXJH,WXJ
囱	TLQI
近	RPK,RP
彻	TAVN
役	TMCY,TMC
返	RCPI,RCP
余	WTU
希	QDMH,QDM
坐	WWFF,WWF
谷	WWKF,WWK
妥	EVF,EV
含	WYNK
邻	WYCB
岔	WVMJ
肝	EFH,EF
肛	EAG,EA
肚	EFG
肘	EFY
肠	ENRT,ENR
龟	QJNB,QJN
甸	QLD,QL
免	QKQB,QKQ
狂	QTGG,QTG
犹	QTDN
狈	QTMY
角	QEJ,QE
删	MMGJ
条	TSU,TS
彤	MYET,MYE
卵	QYTY,QYT
灸	QYOU,QYO
岛	QYNM
刨	QNJH
迎	QBPK,QBP
饭	QNRC,QNR
饮	QNQW,QNQ
系	TXIU,TXI
言	YYYY,YYY,Y
冻	UAIY,UAI
状	UDY
亩	YLF
况	UKQN,UKQ
床	YSI
库	YLK
庇	YXXV,YXX
疗	UBK
吝	YKF
应	YID
这	YPI,YP,O,P
冷	UWYC
庐	YYNE
序	YCBK,YCB
辛	UYGH
弃	YCAJ,YCA
冶	UCKG,UCK
忘	YNNU
闰	UGD,UG
闲	USI
间	UJD,UJ
闷	UNI
判	UDJH
兑	UKQB
灶	OFG,OF
灿	OMH,OM
灼	OQYY,OQY
弟	UXHT,UXH
汪	IGG,IG
沐	ISY
沛	IGMH
汰	IDYY,IDY
沥	IDLN,IDL
沙	IITT,IIT
汽	IRNN,IRN
沃	ITDY
沦	IWXN,IWX
汹	IQBH
泛	ITPY,ITP
沧	IWBN,IWB
没	IMCY,IMC,IM
沟	IQCY,IQC
沪	IYNT,IYN
沈	IPQN,IPQ
沉	IPMN,IPM
沁	INY,IN
怀	NGIY,NGI,NG
忧	NDNN,NDN
忱	NPQN,NPQ,NP
快	NNWY,NNW
完	PFQB,PFQ
宋	PSU
宏	PDCU,PDC
牢	PRHJ,PRH
究	PWVB,PWV
穷	PWLB,PWL
灾	POU,PO
良	YVEI,YVE,YV
证	YGHG,YGH
启	YNKD,YNK
评	YGUH,YGU
补	PUHY,PUH
初	PUVN,PUV
社	PYFG,PYF,PY
祀	PYNN,PYN
识	YKWY,YKW
诈	YTHF,YTH
诉	YRYY,YRY,YR
罕	PWFJ,PWF
诊	YWET,YWE
词	YNGK
译	YCFH,YCF
君	VTKD
灵	VOU,VO
即	VCBH,VCB
层	NFCI,NFC
屁	NXXV,NXX
尿	NII
尾	NTFN,NTF
迟	NYPI,NYP
局	NNKD,NNK
改	NTY
张	XTAY,XTA,XT
忌	NNU
际	BFIY,BFI,BF
陆	BFMH,BFM
阿	BSKG,BSK,BS
陈	BAIY,BAI,BA
阻	BEGG
附	BWFY,BWF
坠	BWFF
妓	VFCY,VFC
妙	VITT,VIT
妖	VTDY,VTD
姊	VTNT
妨	VYN,VY
妒	VYNT
努	VCLB,VCL
忍	VYNU
劲	CALN,CAL
矣	CTDU,CTD,CT
鸡	CQYG,CQY
纬	XFNH
驱	CAQY,CAQ
纯	XGBN,XGB
纱	XITT,XIT,XI
纲	XMQY,XMQ,XM
纳	XMWY,XMW
驳	CQQY,CQQ
纵	XWWY,XWW
纷	XWVN,XWV
纸	XQAN,XQA
纹	XYY
纺	XYN,XY
驴	CYNT,CYN
纽	XNFG,XNF
奉	DWFH,DWF
玩	GFQN,GFQ
环	GGIY,GGI
武	GAHD,GAH
青	GEF
责	GMU
现	GMQN,GMQ,GM
玫	GTY,GT
表	GEU,GE
规	FWMQ,FWM
抹	RGSY,RGS
卦	FFHY
坷	FSKG,FSK
坯	FGIG
拓	RDG,RD
拢	RDXN,RDX
拔	RDCY,RDC
坪	FGUH,FGU
拣	RANW
坦	FJGG,FJG
担	RJGG,RJG
坤	FJHH
押	RLH,RL
抽	RMG,RM
拐	RKLN,RKL
拖	RTBN,RTB
者	FTJF,FTJ
拍	RRG
顶	SDMY,SDM
拆	RRYY,RRY
拎	RWYC,RWY
拥	REH
抵	RQAY,RQA
拘	RQKG,RQK
势	RVYL
抱	RQNN,RQN
拄	RYGG,RYG
垃	FUG
拉	RUG,RU
拦	RUFG,RUF
幸	FUFJ,FUF
拌	RUFH
拧	RPSH,RPS
拂	RXJH
拙	RBMH,RBM
招	RVKG,RVK
坡	FHCY,FHC
披	RHCY,RHC
拨	RNTY,RNT
择	RCFH,RCF
抬	RCKG,RCK
拇	RXGU,RXG
拗	RXLN,RXL
其	ADWU,ADW
取	BCY,BC
茉	AGSU,AGS
苦	ADF
昔	AJF
苛	ASKF,ASK,AS
若	ADKF,ADK
茂	ADNT,ADN
苹	AGUH,AGU
苗	ALF
英	AMDU,AMD
苟	AQKF
苑	AQBB,AQB
苞	AQNB,AQN
范	AIBB,AIB
直	FHF,FH
茁	ABMJ,ABM
茄	ALKF
茎	ACAF,ACA
苔	ACKF,ACK
茅	ACBT,AC
枉	SGG
林	SSY,SS
枝	SFCY,SFC
杯	SGIY,SGI
枢	SAQY,SAQ
柜	SANG,SAN
枚	STY
析	SRH,SR
板	SRCY,SRC
松	SWCY,SWC
枪	SWBN,SWB
枫	SMQY,SMQ
构	SQCY,SQC,SQ
杭	SYMN,SYM
杰	SOU,SO
述	SYPI,SYP
枕	SPQN,SPQ
丧	FUEU,FUE
或	AKGD,AKG,AK
画	GLBJ,GLB,GL
卧	AHNH
事	GKVH,GKV,GK
刺	GMIJ,GMI
枣	GMIU
雨	FGHY
卖	FNUD
郁	DEBH,DEB
矾	DMYY,DMY
矿	DYT
码	DCG
厕	DMJK
奈	DFIU,DFI
奔	DFAJ,DFA
奇	DSKF
奋	DLF
态	DYNU,DYN
欧	AQQW,AQQ
殴	AQMC,AQM
垄	DXFF,DXF
妻	GVHV,GVH,GV
轰	LCCU,LCC
顷	XDMY,XDM,XD
转	LFNY,LFN
斩	LRH,LR
轮	LWXN,LWX
软	LQWY,LQW,LQ
到	GCFJ,GC
非	DJDD,DJD
叔	HICY,HIC
歧	HFCY,HFC
肯	HEF,HE
齿	HWBJ,HWB
些	HXFF,HXF
卓	HJJ
虎	HAMV,HAM,HA
虏	HALV
肾	JCEF,JCE
贤	JCMU,JCM
尚	IMKF
旺	JGG
具	HWU,HW
味	KFIY,KFI
果	JSI,JS
昆	JXXB,JXX,JX
国	LGYI,LGY,L
哎	KAQY,KAQ
咕	KDG
昌	JJF,JJ
呵	KSKG,KSK
畅	JHNR
明	JEG,JE
易	JQRR,JQR
咙	KDXN,KDX
昂	JQBJ,JQB
迪	MPD,MP
典	MAWU,MAW
固	LDD
忠	KHNU,KHN
呻	KJHH,KJH
咒	KKMB,KKM
咋	KTHF
咐	KWFY,KWF
呼	KTUH,KTU,KT
鸣	KQYG,KQY
咏	KYNI,KYN
呢	KNXN,KNX
咄	KBMH,KBM
咖	KLKG,KLK
岸	MDFJ,MD
岩	MDF
帖	MHHK,MHH
罗	LQU,LQ
帜	MHKW
帕	MHRG,MHR
岭	MWYC
凯	MNMN,MNM
败	MTY
账	MTAY,MTA
贩	MRCY,MRC,MR
贬	MTPY,MTP
购	MQCY,MQC
贮	MPGG,MPG
图	LTUI,LTU,LT
钓	QQYY,QQY
制	RMHJ
知	TDKG,TDK,TD
迭	RWPI,RWP
氛	RNWV,RNW
垂	TGAF,TGA
牧	TRTY,TRT
物	TRQR,TRQ,TR
乖	TFUX,TFU
刮	TDJH
秆	TFH
和	TKG,T
季	TBF,TB
委	TVF,TV
秉	TGVI,TGV
佳	WFFG
侍	WFFY,WFF
岳	RGMJ,RGM
供	WAWY,WAW
使	WGKQ
例	WGQJ,WGQ
侠	WGUW,WGU
侥	WATQ
版	THGC
侄	WGCF
侦	WHMY,WHM
侣	WKKG,WKK
侧	WMJH,WMJ
凭	WTFM
侨	WTDJ,WTD
佩	WMGH,WMG
货	WXMU,WXM
侈	WQQY,WQQ
依	WYEY,WYE
卑	RTFJ
的	RQYY,RQY,R
迫	RPD
质	RFMI,RFM
欣	RQWY,RQW
征	TGHG,TGH
往	TYGG,TYG
爬	RHYC
彼	THCY,THC
径	TCAG,TCA
所	RNRH,RN
舍	WFKF,WFK
金	QQQQ,Q
刹	QSJH,QSJ
命	WGKB
肴	QDEF,QDE
斧	WQRJ,WQR
爸	WQCB,WQC
采	ESU,ES
觅	EMQB,EMQ
受	EPCU,EPC
乳	EBNN,EBN,EB
贪	WYNM
念	WYNN
贫	WVMU,WVM
忿	WVNU
肤	EFWY,EFW
肺	EGMH,EGM
肢	EFCY,EFC
肿	EKHH,EKH,EK
胀	ETAY,ETA
朋	EEG,EE
股	EMCY,EMC
肮	EYMN,EYM
肪	EYN
肥	ECN,EC
服	EBCY,EBC,EB
胁	ELWY,ELW
周	MFKD,MFK
昏	QAJF
鱼	QGF
兔	QKQY
狐	QTRY,QTR
忽	QRNU,QRN
狗	QTQK,QTQ
狞	QTPS,QTP
备	TLF
饰	QNTH
饱	QNQN
饲	QNNK
变	YOCU,YOC,YO
京	YIU
享	YBF
庞	YDXV,YDX
店	YHKD,YHK
夜	YWTY,YWT
庙	YMD
府	YWFI,YWF
底	YQAY,YQA
疟	UAGD
疙	UTNV,UTN
疚	UQYI,UQY
剂	YJJH
卒	YWWF
郊	UQBH,UQB
庚	YVWI,YVW
废	YNTY
净	UQVH,UQV
盲	YNHF,YNH
放	YTY,YT
刻	YNTJ,YNT
育	YCEF,YCE
氓	YNNA
闸	ULK
闹	UYMH,UYM
郑	UDBH,UDB
券	UDVB,UDV
卷	UDBB
单	UJFJ
炬	OANG,OAN
炒	OITT,OIT,OI
炊	OQWY,OQW
炕	OYMN,OYM
炎	OOU,OO
炉	OYNT,OYN
沫	IGSY,IGS
浅	IGT
法	IFCY,IFC,IF
泄	IANN
沽	IDG
河	ISKG,ISK
沾	IHKG,IHK
泪	IHG
沮	IEGG,IEG
油	IMG
泊	IRG,IR
沿	IMKG,IMK
泡	IQNN,IQN
注	IYGG,IYG,IY
泣	IUG
泞	IPSH,IPS
泻	IPGG
泌	INTT,INT
泳	IYNI
泥	INXN,INX
沸	IXJH,IXJ
沼	IVKG,IVK
波	IHCY,IHC
泼	INTY
泽	ICFH,ICF
治	ICKG,ICK
怔	NGHG,NGH
怯	NFCY
怖	NDMH,NDM
性	NTGG,NTG
怕	NRG,NR
怜	NWYC
怪	NCFG,NCF,NC
怡	NCKG,NCK
学	IPBF,IPB,IP
宝	PGYU,PGY
宗	PFIU,PFI
定	PGHU,PGH,PG
宠	PDXB,PDX
宜	PEGF,PEG
审	PJHJ,PJH,PJ
宙	PMF,PM
官	PNHN,PNH,PN
空	PWAF,PWA,PW
帘	PWMH,PWM
宛	PQBB,PQB,PQ
实	PUDU,PUD,PU
试	YAAG,YAA
郎	YVCB
诗	YFFY,YFF
肩	YNED
房	YNYV,YNY
诚	YDNT,YDN
衬	PUFY,PUF
衫	PUET,PUE
视	PYMQ,PYM
祈	PYRH,PYR
话	YTDG,YTD
诞	YTHP
诡	YQDB,YQD
询	YQJG,YQJ
该	YYNW
详	YUDH,YUD
建	VFHP
肃	VIJK,VIJ
录	VIU,VI
隶	VII
帚	VPMH,VPM
屉	NANV,NAN
居	NDD,ND
届	NMD,NM
刷	NMHJ,NMH
屈	NBMK,NBM
弧	XRCY,XRC
弥	XQIY,XQI
弦	XYXY,XYX
承	BDII,BDI,BD
孟	BLF
陋	BGMN,BGM
陌	BDJG,BDJ
孤	BRCY,BRC,BR
陕	BGUW,BGU
降	BTAH,BTA,BT
函	BIBK,BIB
限	BVEY,BVE,BV
妹	VFIY,VFI
姑	VDG,VD
姐	VEGG,VEG
姓	VTGG,VTG
妮	VNXN,VNX
始	VCKG,VCK
姆	VXGU,VXG,VX
迢	VKPD,VKP
驾	LKCF,LKC
叁	CDDF,CDD
参	CDER,CDE,CD
艰	CVEY,CVE,CV
线	XGT,XG
练	XANW,XAN
组	XEGG,XEG
绅	XJHH,XJH
细	XLG,XL
驶	CKQY,CKQ
织	XKWY,XKW
驹	CQKG,CQK
终	XTUY,XTU
驻	CYGG,CYG,CY
绊	XUFH,XUF
驼	CPXN,CPX,CP
绍	XVKG,XVK
绎	XCFH,XCF
经	XCAG,XCA,XC,J,X
贯	XFMU,XFM
契	DHVD,DHV
贰	AFMI,AFM
奏	DWGD,DWG
春	DWJF,DWJ,DW
帮	DTBH,DT
玷	GHKG,GHK
珍	GWET,GWE,GW
玲	GWYC,GWY
珊	GMMG,GMM
玻	GHCY,GHC
毒	GXGU
型	GAJF
拭	RAAG,RAA
挂	RFFG
